日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2030/01/11,火,No.04306,爆音で眠る赤ん坊,工事現場のドリルや爆音のすぐ側で、赤ん坊が非常に安らかな顔で熟睡している。逆に、静かな部屋では大声で泣き出してしまう。そんな赤ん坊を描いてください。
2030/01/12,水,No.04307,失敗を称賛する授賞式,豪華な授賞式で、ステージ上の人物が「今年最も壮大な失敗」をしたとして、満場の拍手喝采を浴び、トロフィーを受け取っている様子を生成してください。
2030/01/13,木,No.04308,ゴミ山に咲く高貴な薔薇,産業廃棄物やゴミが山積みになった汚染された土地に、一点だけ、非現実的なまでに美しく高貴な青い薔薇が咲き誇っている。その薔薇はゴミを養分にしている。そんな風景を描いてください。
2030/01/14,金,No.04309,嘘が真実になる法廷,法廷で、証人が宣誓しながら堂々と嘘をつくと、その嘘が現実となり、過去の出来事が（嘘に合わせて）書き換えられていく。裁判官はそれを淡々と記録している。そんな様子を描いてください。
2030/01/15,土,No.04310,憎むほどに愛おしい敵,戦場で、二人の宿敵が命をかけて斬り合っている。しかし、その表情は憎しみではなく、まるで長年の恋人に会えたかのような深い愛と慈しみに満ちている。そんな矛盾した表情を描いてください。
2030/01/16,日,No.04311,絶望が燃料の希望の灯台,絶望した人々が集まる崖の上にある灯台。人々が絶望を告白すると、その絶望が燃料となり、灯台はより一層強く、遠くの船を導く「希望の光」を放つ。そんな光景を生成してください。
2030/01/17,月,No.04312,自由を求める囚人服の鳥,鳥かごの中に、囚人服（白黒の縞模様）を着た鳥がおり、かごの扉は開いているにもかかわらず、外に出ようとせず、「自由が怖い」と震えている様子を描いてください。
2030/01/18,火,No.04313,無知な博学者,書斎が天井までの本で埋め尽くされている大学教授。彼は世界のあらゆる知識を知っているが、「愛」や「友情」といった基本的な感情については全く知らず、辞書でその意味を調べている。そんな様子を生成してください。
2030/01/19,水,No.04314,弱さを誇るチャンピオン,ボクシングの試合後、勝利したチャンピオンがマイクの前で、自分がどれほど臆病で、どれほど弱かったかを涙ながらに（しかし誇らしげに）語っている姿を描いてください。
2030/01/20,木,No.04315,遅いほど速いレース,カタツムリたちのレース大会。ルールは「最も速く動いた（速くゴールした）カタツムリが負け」というもの。全てのカタツムリが、いかに動かないかを競い合っている。そんな奇妙なレースを描いてください。
2030/01/21,金,No.04316,暗闇を照らす黒い太陽,空に浮かぶ太陽が、光り輝くのではなく、周囲の光を吸収する「黒い穴」のようになっている。しかし、その「暗黒」が、なぜか世界を（逆説的に）照らしている。そんな風景を生成してください。
2030/01/22,土,No.04317,燃える氷山,北極の海に、氷でできているにもかかわらず、表面が赤い炎を上げて燃えている巨大な氷山が浮かんでいる。海は凍り、空は燃えている。そんな光景を生成してください。
2030/01/23,日,No.04318,岩のように硬い綿毛,草原に咲くタンポポの綿毛が、風に飛ばされる代わりに、あまりの硬さ（岩のように硬い）に地面に突き刺さっている。人々はそれをハンマーで砕こうとしている。そんな様子を描いてください。
2030/01/24,月,No.04319,苦い砂糖,カフェで、人々がコーヒーに砂糖を入れているが、その砂糖は非常に苦く、入れるたびに顔をしかめている。しかし、彼らは砂糖を入れるのをやめない。そんな奇妙なティータイムを描いてください。
2030/01/25,火,No.04320,芳香を放つ腐敗,ゴミ捨て場に捨てられた生ゴミや腐敗したものが、悪臭ではなく、高級な香水のような非常に良い香りを放っている。人々はその香りを嗅ぎに集まっている。そんな光景を生成してください。
2030/01/26,水,No.04321,調和した不協和音,オーケストラが、意図的にすべての楽器で不協和音を奏でている。しかし、その不協和音全体が、不思議と完璧な調和（ハーモニー）を生み出している。聴衆は恍惚としている。そんなコンサートを描いてください。
2030/01/27,木,No.04322,秩序だった混沌,大都市の交差点で、何千人もの人々や車、ドローンが、一見ランダムでカオスに動いている。しかし、それを上空から見ると、全体として一つの巨大で秩序だった幾何学模様を描いている。そんな風景を生成してください。
2030/01/28,金,No.04323,変化し続ける静止画,美術館に飾られた一枚の風景画。それは静止画のはずなのに、目を離して再び見ると、描かれている木が成長していたり、季節が変わっていたりする。そんな「動く静止画」を描いてください。
2030/01/29,土,No.04324,予測可能なカオス,天気予報士が、明日の「カオス予報」を発表している。「明日は局地的に、物理法則がランダムに入れ替わるでしょう」と真剣な顔で解説している様子を生成してください。
2030/01/30,日,No.04325,非論理的な数学教師,学校の教室で、数学教師が黒板に「1+1=窓」と書き、それがなぜ論理的に正しいのかを、生徒たちに情熱的に（しかし非論理的に）説明している様子を描いてください。
2030/01/31,月,No.04326,非合理的なCEO,大企業の役員会議で、CEOが次の経営戦略として「全社員で占いに行き、その結果で全てを決める」という非合理的な提案を、完璧なデータとグラフ（？）で合理的にプレゼンしている様子を生成してください。
2030/02/01,火,No.04327,歓喜に満ちた廃墟,人々が去り、建物が崩壊した廃墟都市。しかし、その廃墟のいたるところから、抑えきれない「喜び」の感情が光となって溢れ出し、街全体が歓喜に包まれているかのように輝いている風景を生成してください。
2030/02/02,水,No.04328,溶けない氷の彫刻,真夏の炎天下のビーチで、精巧な氷の彫刻が展示されている。太陽に照らされているにもかかわらず、その氷は一滴も溶けずに輝き続けている。人々は不思議そうに触れている。そんな様子を描いてください。
2030/02/03,木,No.04329,古代遺跡のデジタル広告,マヤ文明のピラミッドの壁面に、古代の壁画に混じって、点滅するサイバーパンクなホログラム広告が投影されている。観光客はそれをスマホで撮影している。そんな光景を描いてください。
2030/02/04,金,No.04330,温かい雪景色,一面の雪景色。しかし、その雪は触れると火傷するほど「温かい」。人々は厚着ではなく、水着のような格好で、その「温かい雪」で雪合戦をしている。そんな矛盾した風景を生成してください。
2030/02/05,土,No.04331,孤独を育てる庭師,広大な庭園で、庭師が「孤独」という名前の植物を育てている。その植物は黒い棘を持ち、周囲の音を吸収して静寂を広げている。庭師はそれに優しく水をやっている。そんな様子を描いてください。
2030/02/06,日,No.04332,主人を支配するペットロボット,家庭で、飼い主である人間が、小さなペットロボット（犬型）の命令に従って「お手」や「伏せ」をしている。ペットロボットはふんぞり返って人間を見ている。そんな力関係が逆転したリビングを描いてください。
2030/02/07,月,No.04333,都市を飲み込む巨大な朝顔,都市のビル群に、空を覆うほど巨大な朝顔が絡みついている。その花はビルよりも大きく、夜が明けるとゆっくりと開花し、都市を影で覆っていく。そんな光景を生成してください。
2030/02/08,火,No.04334,味のする彫刻,美術館で、展示されている大理石の彫刻を、人々が（見るのではなく）舌で舐めて「味わっている」。彫刻家は「味」のバランスを説明している。そんな奇妙な鑑賞風景を描いてください。
2030/02/09,水,No.04335,影から生まれた生物,人間の影が、ある日突然、本体から分離して実体化し、独自の意志を持って動き出す。影の生物は平面だが、物質世界に干渉しようとしている。そんな瞬間を描いてください。
2030/02/10,木,No.04336,アナログなサイバー攻撃,サイバーセキュリティが厳重な未来の研究所。ハッカーが、最新のコンピュータではなく、大量の「手紙（郵便）」を送りつけることで、サーバーを物理的にダウンさせようとしている（アナログなDDoS攻撃）。そんな様子を生成してください。
2030/02/11,金,No.04337,沈黙が通貨の国,その国では、人々は「沈黙の時間」を通貨として支払う。賑やかな市場で、人々は「10分間の沈黙」でリンゴを買い、商人はストップウォッチで時間を計っている。そんな光景を描いてください。
2030/02/12,土,No.04338,歌うことで発電する街,街のエネルギーが、人々の「歌声」によって賄われている。人々は街中で楽しそうに歌っており、その歌声がエネルギーに変換され、街灯や電車が動いている。そんな風景を生成してください。
2030/02/13,日,No.04339,銀河が詰まったティーカップ,カフェのテーブルに置かれたティーカップの中。紅茶の代わりに、渦巻く銀河（宇宙）がゆっくりと回転しており、星々が輝いている。スプーンでかき混ぜると銀河が歪む。そんな光景を描いてください。
2030/02/14,月,No.04340,蒸気機関で動くピラミッド,古代エジプトの砂漠で、ピラミッドが巨大な蒸気機関の力でゆっくりと移動している。ピラミッドの頂点からは黒い煙が噴き出している。そんな歴史のifを描いてください。
2030/02/15,火,No.04341,悲しみが雨になる街,その街では、人々の悲しみが集まると、それが物理的な雲となり、悲しみの雨を降らせる。雨宿りをする人々は、空を見上げて「今日は誰かが深く悲しんでいる」と噂している。そんな風景を生成してください。
2030/02/16,水,No.04342,回路基板のように広がる森,森を上空から見ると、木々や川の流れが、緑色や青色の電子回路（サーキットボード）のパターンと全く同じ形に広がっている。自然とテクノロジーが融合した風景を描いてください。
2030/02/17,木,No.04343,現実を書き換える夢日記,少女が寝る前に夢日記に「明日は空を飛びたい」と書くと、翌朝、本当に街中の人々や物が重力を失って浮き上がってしまう。少女は慌てて日記を修正しようとしている。そんな様子を生成してください。
2030/02/18,金,No.04344,おとぎ話の姫、サイバーパンクの戦士,白雪姫のようなドレスを着たお姫様が、ネオン輝くサイバーパンクな路地裏で、ドレスの裾をまくり、ハイテクな義手でレーザーガンを構え、敵のドローンと戦っている。そんなミスマッチな光景を描いてください。
2030/02/19,土,No.04345,万有引力が目に見える世界,リンゴが木から落ちる時、リンゴと地面の間に「万有引力」が青白い光の糸のように目に見える。人々はその「引力の糸」を避けながら歩いている。そんな風景を生成してください。
2030/02/20,日,No.04346,アール・ヌーヴォー様式の宇宙ステーション,宇宙空間に浮かぶ宇宙ステーションが、機能的なデザインではなく、植物の蔦のような曲線的な鉄骨や、ステンドグラスのような太陽光パネルを持つ、アール・ヌーヴォー様式でデザインされている。そんな光景を生成してください。
2030/02/21,月,No.04347,教室の机が一つだけ浮いている,普通の高校の教室。生徒たちが授業を受けているが、窓際の一番後ろの席の机と椅子だけが、生徒が座ったまま床から10cmほど浮いている。しかし、本人も周りの生徒も教師も全く気にしていない。そんな日常を描いてください。
2030/02/22,火,No.04348,「猫の手も借りたい」オフィス,本当に「猫の手」を借りているオフィス。デスクの上で、数匹の猫が、小さな前足でキーボードを（無茶苦茶に）叩いたり、書類に肉球スタンプを押したりして「仕事を手伝って」いる。社員は困り顔でそれを見ている。そんな光景を生成してください。
2030/02/23,水,No.04349,翼の生えた深海魚,太陽の光が全く届かない深海で、深海魚が（泳ぐためではなく）空を飛ぶ鳥のような立派な「翼」を持っており、暗闇の中を滑空している。そんな架空の進化を描いてください。
2030/02/24,木,No.04350,データを食べる動物,図書館で、本（紙）ではなく、サーバーから漏れ出す「データ」の光を、鹿やウサギのような形をした生物がムシャムシャと食べている。司書は「餌を与えないでください」と注意している。そんな光景を生成してください。
2030/02/25,金,No.04351,雨が降ってから雲ができる,晴天の空から突然、大粒の雨が降ってくる。人々が傘をさすと、その雨が蒸発して、空に「後から」雲が形成されていく。そんな因果が逆転した天気を描いてください。
2030/02/26,土,No.04352,感謝の言葉が花になる,人々が「ありがとう」と感謝の言葉を口にすると、その口から美しい花が咲き、地面に落ちる。街中は感謝の花で溢れている。そんな世界を描いてください。
2030/02/27,日,No.04353,忘れられた記憶の墓場,霧深い谷底に、人々が忘れた「記憶」（古いテディベア、色褪せた写真、壊れたおもちゃなど）が、墓標のように積み上がっている「記憶の墓場」を生成してください。
2030/02/28,月,No.04354,ビルの窓から鳥が飛び立つ（逆）,森の中の大木に、オフィスビルのような「窓」がたくさん付いており、その窓から（鳥ではなく）スーツを着たビジネスマンたちが一斉に飛び立っていく（出勤していく）。そんな光景を描いてください。
2030/03/01,火,No.04355,ペンが小説家を雇う,巨大な万年筆が、玉座に座り、目の前にいる小説家志望の人間たちを「面接」している。「君の文章は私のインクにふさわしくない」とペンがダメ出ししている。そんな主従逆転の様子を描いてください。
2030/03/02,水,No.04356,怒りで夏が来る,一人の王が激しく怒ると、その怒りが熱波となり、国全体が一瞬で冬から灼熱の夏に変わってしまう。人々は慌てて服を脱ぎ、かき氷を求めている。そんな光景を生成してください。
2030/03/03,木,No.04357,老人の顔をした赤ん坊,産婦人科の新生児室で、生まれたばかりの赤ん坊が、深いシワと白髪（髭）を持つ賢者のような老人の顔をしている。看護師は平然と世話をしている。そんな様子を描いてください。
2030/03/04,金,No.04358,1秒で宇宙の果て,男が部屋のドアを開けて一歩踏み出すと、その「1秒」の間に宇宙の果てまで到達し、膨大な情報と経験を得て、老婆のように年老いてドアの向こう側（廊下）に倒れ込む。そんな時間と距離が歪んだ瞬間を描いてください。
2030/03/05,土,No.04359,赤い色が爆発音で聞こえる,街角で、赤いドレスを着た女性が通り過ぎる。その「赤色」が、周囲の人々には（色としてではなく）「大音量の爆発音」として聞こえ、人々は耳を塞いでいる。そんな共感覚の世界を描いてください。
2030/03/06,日,No.04360,風船が地面に沈む,子供が遊園地で風船を手放してしまうが、風船は空に飛んでいく代わりに、まるで鉛のように重く、ゆっくりと地面（アスファルト）に沈んでいく。子供は泣いている。そんな重力逆転の光景を描いてください。
2030/03/07,月,No.04361,心臓が外にある人々,その街の人々は、心臓が体の中ではなく、透明なケースに入って体の「外側」（胸の前）で動いている。感情が高ぶると心臓の鼓動が速くなるのが丸見えである。そんな人々が暮らす街を描いてください。
2030/03/08,火,No.04362,写真の中で動く人々,古いアルバムを開くと、白黒写真の中の人々が（動画のように）動いており、笑ったり、手を振ったりしている。しかし、アルバムを閉じると彼らはまた静止する。そんな様子を描いてください。
2030/03/09,水,No.04363,四角いタイヤの自転車レース,自転車レースが開催されているが、すべての自転車のタイヤが「四角形」である。選手たちはガタガタと信じられないほど非効率に進みながら、必死にペダルを漕いでいる。そんな光景を生成してください。
2030/03/10,木,No.04364,死んでから咲く花,花が枯れ、完全に命が尽きた後で、その枯れた茎から、生前よりもさらに美しく、発光する花が「咲く」。人々は枯れた花に水をやっている。そんな生と死が曖昧な庭園を描いてください。
2030/03/11,金,No.04365,地球が豆粒より小さい,宇宙空間に、人間が（豆粒をつまむように）指先で「地球」をつまんでいる。その人間の体は銀河系よりもはるかに大きい。そんなスケールが逆転した光景を描いてください。
2030/03/12,土,No.04366,恐竜と宇宙人が共存するカフェ,レトロな喫茶店で、一方のテーブルではTレックスが小さなカップでコーヒーを飲もうと苦労しており、もう一方のテーブルではグレイタイプの宇宙人がパフェを食べている。そんな時間軸が混在した日常を描いてください。
2030/03/13,日,No.04367,火が水を生む世界,砂漠の真ん中で、人々が焚き火をしている。その燃え盛る炎から、水が（蒸気ではなく）液体として湧き出し、人々はそれを水筒に集めている。そんな因果循環の世界を描いてください。
2030/03/14,月,No.04368,一人の人間が群衆になる,一人の男が広場で孤独を感じた瞬間、彼の体から分身が次々と現れ、彼自身が「群衆」となって広場を埋め尽くす。しかし、全員が同じ顔で孤独そうにしている。そんな様子を描いてください。
2030/03/15,火,No.04369,「愛」が触れる球体,研究所で、科学者たちが「愛」という概念を具現化（物質化）することに成功した。それは温かく、淡いピンク色に光る、触れることができる球体として実験室に浮かんでいる。そんな光景を生成してください。
2030/03/16,水,No.04370,計算ミスが必ず正解になる,数学の試験中、生徒が「2+2=5」と計算ミスをすると、それが「正解」となり、逆に「2+2=4」と書くと「不正解」になる。生徒たちは必死に「間違えよう」と努力している。そんな世界を描いてください。
2030/03/17,木,No.04371,1秒が永遠に続く時計,壁に掛かった時計が、午後3時ジャストの「1秒」から全く動かない。しかし、その「1秒」の中で、人々は生まれ、成長し、老いていく。時間が無限に引き伸ばされた世界を描いてください。
2030/03/18,金,No.04372,不可能なことが簡単にできる世界,人々が「空中浮遊」や「瞬間移動」を、まるで朝飯前のことのように（しかし退屈そうに）行っている。逆に、「歩く」ことが非常に困難で、人々は必死に「歩く練習」をしている。そんな世界を描いてください。
2030/03/19,土,No.04373,数が量を表さない市場,市場で、商人が「リンゴ1個」と「リンゴ5個」を同じ値段で売っている。「5個」の方が「1個」よりも価値が低いとされ、誰も買おうとしない。そんな数の概念が破綻した世界を描いてください。
2030/03/20,日,No.04374,名前と実体が入れ替わる朝,ある朝目覚めると、「猫」という名前の生物が「ワンワン」と吠え、「犬」という名前の生物が「ニャー」と鳴いている。人々は混乱しながらも、新しい名前に慣れようとしている。そんな世界を描いてください。
2030/03/21,月,No.04375,人生の始まりが死,人々が「死」（墓場）から生まれ、徐々に若返っていき、「赤ん坊」（子宮）として「始まり」を迎える。結婚式は、二人が別れるための儀式である。そんな時間が逆行する人生を描いてください。
2030/03/22,火,No.04376,雲が雨の原因になる（逆）,雨が降る「理由」が「雲」ではなく、「地面が濡れたいから」という理由で雨が降る。雨が降った結果、空に副産物として雲ができる。そんな理由と原因が逆転した世界を描いてください。
2030/03/23,水,No.04377,「42」という答えが質問,賢者の前に、人々が「42」と書かれたプラカードを持って列を作っている。賢者はその「42」という「答え（質問）」に対して、それぞれに異なる「質問（答え）」を与えている。そんな光景を生成してください。
2030/03/24,木,No.04378,努力するほど貧しくなる世界,人々が一生懸命働けば働くほど、給料が減り、貧しくなっていく。逆に、一日中寝て過ごす怠け者が、最も裕福な生活を送っている。そんな社会を描いてください。
2030/03/25,金,No.04379,昨日の記憶が明日の出来事,人々が「昨日」として思い出す記憶（例：昨日、友達と映画を見た）が、実際には「明日」起こる出来事の「予告」である。人々は自分の「記憶（未来）」に怯えたり、喜んだりしている。そんな世界を描いてください。
2030/03/26,土,No.04380,全員同じ服なのに一人一人違って見える,全員が全く同じグレーの制服を着て、同じ表情で整列している人々。しかし、なぜかその「統一性」が、逆に一人一人の内面的な「個性」を強烈に際立たせている。そんな奇妙な光景を描いてください。
2030/03/27,日,No.04381,無音が爆音に聞こえる,完全に無音の部屋（防音室）にいる男が、あまりの静けさに耐えられず、まるで耳元で爆音が鳴っているかのように、両耳を塞いで苦しんでいる様子を描いてください。
2030/03/28,月,No.04382,成功することが最大の失敗,オリンピックで金メダルを獲得した選手が、表彰台の頂上で、まるで人生最大の失敗をしたかのように号泣し、絶望している。銀メダルや銅メダルの選手は彼を慰めている。そんな価値観の逆転を描いてください。
2030/03/29,火,No.04383,ゴミが美しく見える世界,人々が、美しい花畑や絵画には目もくれず、ゴミ処理場に集まり、積み上げられたゴミの山を「美しい」と感動の涙を流しながら鑑賞している。そんな美醜が逆転した世界を描いてください。
2030/03/30,水,No.04384,真実を言うと嘘になる,テレビのニュースキャスターが、真剣な顔で「今日は晴天です」と「真実」を報道した瞬間、外が土砂降りの雨になる。逆に「今日は大雪です」と「嘘」を言うと、快晴になる。そんな世界を描いてください。
2030/03/31,木,No.04385,愛するほど憎しみが深くなる,深く愛し合っているカップルが、お互いを抱きしめれば抱きしめるほど、その表情が愛から憎しみへと変わり、ついにはお互いを傷つけようとする。そんな愛憎が融合した様子を描いてください。
2030/04/01,金,No.04386,希望を持つと絶望する,暗闇の中で「希望の光」を見つけた男。しかし、その光に近づくと、それはさらに深い「絶望」の闇への入り口だった。男は光の前で立ち尽くす。そんな光景を描いてください。
2030/04/02,土,No.04387,何でもできる自由が最大の束縛,「何でも好きなことをして良い」と言われた男が、選択肢が多すぎる（自由すぎる）ために何も選べず、見えない鎖に縛られたようにその場で動けなくなっている。そんな「自由の不自由」を描いてください。
2030/04/03,日,No.04388,何でも知っているほど何も知らない,「世界の全てを知った」と宣言する賢者。しかし、その瞬間、彼は「自分が誰なのか」「ここはどこなのか」といった基本的なことさえ忘れてしまい、赤ん坊のように無知な状態に戻ってしまう。そんな様子を生成してください。
2030/04/04,月,No.04389,筋肉があるほど弱い,筋肉隆々のボディビルダーが、ティッシュペーパー一枚さえ持ち上げられずに苦労している。逆に、痩せ細った老人が、巨大な岩を軽々と持ち上げている。そんな強弱が逆転した世界を描いてください。
2030/04/05,火,No.04390,新幹線がカタツムリより遅い,新幹線とカタツムリが「よーいドン」でレースをしている。新幹線は目に見えないほどゆっくりと進み、カタツムリが音速を超えるスピードで走り去っていく。そんな速さが逆転した光景を描いてください。
2030/04/06,水,No.04391,太陽が闇のように暗い,真昼の空に、太陽が（日食のように）輝く輪郭だけを残し、中心部が闇のように真っ黒になっている。その「暗い太陽」が、世界を不気味な明るさで照らしている。そんな風景を生成してください。
2030/04/07,木,No.04392,火が冷たく感じる,人々が燃え盛る焚き火の周りに集まっているが、彼らは「寒い」と言って震えている。火は「冷たい」ものとして認識されており、人々は「冷たさ」を求めて火に当たっている。そんな世界を描いてください。
2030/04/08,金,No.04393,岩が綿のように柔らかい,登山家が、ゴツゴツとした岩山を登っている。しかし、その岩は触れると綿あめのように柔らかく、手や足が岩に沈み込んでしまい、登るのに苦労している。そんな様子を描いてください。
2030/04/09,土,No.04394,砂糖が苦く感じる,子供が誕生日のケーキを食べているが、その顔は喜びではなく、苦虫を噛み潰したように歪んでいる。その世界では、砂糖（甘さ）が最も「苦い」味として認識されている。そんな光景を生成してください。
2030/04/10,日,No.04395,ゴミの匂いが香水,高級なデパートの香水売り場。店員が客に「最新の香りです」と勧めているのは、ゴミ処理場の「腐敗臭」を濃縮した香水。客はそれを嗅いで「なんて良い香り！」と恍惚としている。そんな世界を描いてください。
2030/04/11,月,No.04396,雑音が美しい音楽,工事現場のドリル音、車のクラクション、人々の怒号。それらが混じり合った「雑音」が、その世界では最も美しい「交響曲」として認識され、人々はコンサートホールで真剣に耳を傾けている。そんな光景を描いてください。
2030/04/12,火,No.04397,混乱が整然としている,図書館の内部。本は床に散乱し、本棚は倒れ、一見すると完全なカオス。しかし、司書に言わせると「これが最も完璧な秩序（分類法）」であり、必要な本を即座に見つけ出せる。そんな「秩序ある混沌」を描いてください。
2030/04/13,水,No.04398,無限に変化する同じパターン,壁紙の模様が、単純な「水玉模様」なのに、よく見るとその一つ一つの水玉が、瞬きする間に色、形、大きさを無限に変化させ続けている。見ていると目眩がする。そんな壁紙を描いてください。
2030/04/14,木,No.04399,不確実なことが確実,天気予報が「明日の天気は、50%の確率で晴れ、50%の確率で雨です」と予報する。その結果、空が半分だけ晴れ、半分だけ雨が降るという「不確実な状態が確実に」実現している。そんな空を描いてください。
2030/04/15,金,No.04400,間違っていることが正しい,裁判所で、被告が「私はやっていません」と「真実」を述べると「有罪」となり、逆に「私がやりました」と「嘘（間違い）」を述べると「無罪」となる。被告はどちらを選ぶか苦悩している。そんな論理が破綻した法廷を描いてください。
2030/04/16,土,No.04401,陽気な葬儀屋,黒い礼服を着ているが、満面の笑みでカラフルな風船を参列者に配っている葬儀屋の男性を生成してください。背景は厳粛な葬儀会場です。
2030/04/17,日,No.04402,燃え盛る氷山,海に浮かぶ巨大な氷山が、赤い炎を上げて激しく燃え上がっている様子を生成してください。周囲の海は凍っています。
2030/04/18,月,No.04403,ネオン街の恐竜,東京の新宿のようなネオンサインがきらめく夜の繁華街を、巨大なティラノサウルスが闊歩している風景を生成してください。
2030/04/19,火,No.04404,棘のあるシルク,滑らかで光沢のあるシルクの布地から、鋭いイバラのような棘が無数に生えている様子をクローズアップで生成してください。
2030/04/20,水,No.04405,「憂鬱」を散歩させる紳士,霧のかかった公園で、山高帽をかぶった紳士が、黒い影のような、あるいは重力に引かれる液体のような姿をした「憂鬱」という概念を、犬のようにリードにつないで散歩させているイラストを生成してください。
2030/04/21,木,No.04406,羊飼いに導かれる狼の群れ,穏やかな牧草地で、羊飼いの格好をした人物（杖を持っている）が、羊の代わりに従順な狼の群れを引き連れて歩いている様子を生成してください。
2030/04/22,金,No.04407,コーヒーカップの中の台風,テーブルに置かれたコーヒーカップの中で、茶色い液体が渦を巻き、小さな稲妻が走る台風が発生している様子を、上からのぞき込む視点で生成してください。
2030/04/23,土,No.04408,香りを聴くためのヘッドフォン,アンティーク調の真鍮でできた、耳ではなく鼻を覆うような複雑なデザインのヘッドフォンを装着した女性が、花畑で目を閉じている姿を生成してください。
2030/04/24,日,No.04409,鉱物から生まれた蝶,アメジストやエメラルドのような美しい鉱物の結晶でできた羽を持つ蝶が、ごつごつした岩肌から生まれ、飛び立とうとしている瞬間を生成してください。
2030/04/25,月,No.04410,巨大な筆で精密回路を描く技術者,クリーンルームで防護服を着た技術者が、天井から吊るされた巨大な習字の筆を使って、床に広がるミクロの精密な回路基板を描いている様子を生成してください。
2030/04/26,火,No.04411,重力が上向きに働く街,人々が地面に「落ちない」ように手すりにつかまり、建物が逆さまに生えているかのように空に向かって建っている都市の風景を生成してください。空は「下」にあります。
2030/04/27,水,No.04412,音を吸い取るトランペット,ジャズバーでトランペット奏者が演奏しているが、楽器の先端から音符ではなく、周囲の雑音や話し声が黒い煙のように吸い込まれていく様子を生成してください。
2030/04/28,木,No.04413,細胞核を公転する惑星群,顕微鏡で見た細胞の内部図のような風景で、中央の細胞核の周りを、土星や木星のようなミニチュアの惑星群が軌道を描いて公転している様子を生成してください。
2030/04/29,金,No.04414,インターネットを開発した中世の修道院,ステンドグラスが輝く薄暗い修道院の図書館で、羊皮紙の巻物と、歯車や蒸気機関で動く原始的なコンピュータを使い、ネットワーク図を描いている修道士たちを生成してください。
2030/04/30,土,No.04415,幸福感が結晶となって降り積もる部屋,人々が笑い合っている暖かい雰囲気の部屋で、彼らの幸福感が空気中でキラキラ光る雪の結晶のようになり、床や家具に静かに降り積もっている様子を生成してください。
2030/05/01,日,No.04416,データケーブルが蔦のように絡まる巨大樹,ジャングルの奥地にある巨大な古木に、カラフルなLANケーブルや光ファイバーが蔦（つた）のようにびっしりと絡みつき、幹にはUSBポートがいくつも付いている様子を生成してください。
2030/05/02,月,No.04417,夢で描いた設計図で建てられた現実の家,現実の建築現場で、物理法則を無視した（例：螺旋階段が途中で途切れて空中に続いている）設計図を見ながら、作業員たちが首をかしげつつも家を建てている様子を生成してください。
2030/05/03,火,No.04418,ハムレットがSF宇宙船の船長になる,"宇宙船のブリッジで、中世のデンマーク王子の衣装（黒い服、タイツ）を着たハムレットが、髑髏（ドクロ）を片手に持ち、「To be, or not to be...」と呟きながら、眼前のワームホールを見つめている姿を生成してください。"
