日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2027/02/26,金,No.03256,絶滅しなかったネアンデルタール人の現代社会,現代の都市（例：渋谷のスクランブル交差点）で、我々ホモ・サピエンスと、体格が良く毛深いネアンデルタール人が、共存してスマホを使ったり、買い物をしたりしている。
2027/02/27,土,No.03257,優しさがオーラとなって輝く看護師,病院で患者の手を握る看護師。彼女の体から、優しさや思いやりが温かい金色のオーラとなって放たれ、患者を包み込んでいる。
2027/02/28,日,No.03258,嫉妬が棘となって体に生える人,ある人物が他人の成功を見て嫉妬した瞬間、その人物の背中や腕から、黒く鋭い棘が突き出してくる様子。
2027/03/01,月,No.03259,幸福感が蝶になって飛び交う公園,公園で楽しそうに遊ぶ家族やカップル。彼らの幸福感や喜びが、色とりどりの光る蝶となって体から飛び出し、周囲を飛び交っている。
2027/03/02,火,No.03260,絶望が重力となって周囲を歪ませる空間,一人の人物が深く絶望している。その人物を中心に、周囲の空間がまるで強い重力によって歪み、物が引き寄せられたり、光が曲がったりしている。
2027/03/03,水,No.03261,ドローンが巣を作る金属の樹木,森の中に、まるで本物の木のように生えている金属（クロムやチタン）の樹木。その枝には、鳥の代わりに配達用ドローンが巣を作り、群がっている。
2027/03/04,木,No.03262,川魚のように泳ぐUSBメモリ,清流の中を、アユやイワナのような川魚に混じって、USBメモリやSDカードが群れをなして泳ぎ、遡上している。
2027/03/05,金,No.03263,サーバー室と化した鍾乳洞,数億年かけて形成された神秘的な鍾乳洞の内部に、最新鋭のサーバーラックが整然と並び、無数のケーブルが鍾乳石に巻き付いている。
2027/03/06,土,No.03264,バイオハザードマークの模様を持つ花,ジャングルに咲く新種の花。その花びらには、自然発生したとは思えない、警告色（黄と黒）のバイオハザードマークが模様としてくっきりと浮かび上がっている。
2027/03/07,日,No.03265,夢の中の傷が現実の体に残る朝,朝、ベッドで目覚めた人物。夢の中で怪物に腕を引っかかれたことを思い出していると、現実の自分の腕にも、夢と全く同じ場所に生々しい傷跡が残っている。
2027/03/08,月,No.03266,現実で描いた絵が夢の世界の地図になる,画家が現実世界でキャンバスに架空の地図を描いている。その夜、彼が眠ると、夢の中でその地図通りの世界を冒険している。
2027/03/09,火,No.03267,眠ると現実の時間が巻き戻る男,ある男がベッドで眠りについた瞬間、現実世界の時間が（彼以外）逆再生を始め、彼が目覚めると前日の朝に戻っている。
2027/03/10,水,No.03268,夢遊病者が建設した空中の都市,多くの人々が夢遊病状態で、夜な夜な空中にありえない構造の都市を建設し続けている。朝になると彼らは何も覚えていない。
2027/03/11,木,No.03269,ハムレットがSF映画の宇宙船で悩んでいる,"宇宙船のブリッジで、SF的なクルーに囲まれながら、デンマークの王子ハムレットが「To be, or not to be...」と頭蓋骨（宇宙人のものかもしれない）を片手に悩んでいる。"
2027/03/12,金,No.03270,孫悟空が現代の法廷で証言している,厳格な現代の法廷。証言台に、あの孫悟空（如意棒と筋斗雲持ち）が立ち、真面目な顔で検事の質問に答えている。傍聴席には猪八戒や沙悟浄もいる。
2027/03/13,土,No.03271,光源氏がニューヨークのクラブで踊っている,平安時代の雅な装束をまとった光源氏が、ネオンきらめくニューヨークのナイトクラブで、現代の若者たちに混じって違和感なく華麗に踊っている。
2027/03/14,日,No.03272,シャーロック・ホームズがファンタジー世界の謎を解いている,シャーロック・ホームズとワトソンが、中世ファンタジー風の酒場で、エルフやドワーフから事情聴取をしている。「犯人はこのドラゴンだ！」と指さしている。
2027/03/15,月,No.03273,遠近法が物理的に歪んでいる部屋,部屋の奥にあるものが手前にあるものより極端に大きく見えるなど、遠近法が物理法則として狂ってしまった空間。人々がその歪んだ空間で苦労して生活している。
2027/03/16,火,No.03274,熱力学の第二法則が黒い霧となって流れる様子,エントロピーの増大（熱力学の第二法則）が、目に見える黒い霧や煙となって、整然としたもの（例：新品のビル）から混沌としたもの（例：廃墟）へと常に流れ込んでいる。
2027/03/17,水,No.03275,E=mc^2がネオンサインのように輝く研究室,アインシュタインの研究室のような場所で、物理法則「E=mc^2」の数式そのものが、ネオンサインやオーロラのように空間に浮かび上がり、物理的なエネルギーとして輝いている。
2027/03/18,木,No.03276,黄金比に基づいて自動生成される都市,都市がまるで植物の葉脈や貝殻のように、黄金比やフィボナッチ数列に基づいて自動的に成長し、拡張していく様子を上空から見た図。
2027/03/19,金,No.03277,キュビズムで描かれた禅の庭園,日本の静謐な禅の庭園（枯山水）が、ピカソのキュビズムのように、多角的な視点から再構成され、岩や砂紋が幾何学的に分解されて描かれている。
2027/03/20,土,No.03278,バロック様式の潜水艦,深海を潜行する潜水艦。しかしその外観は、無骨な金属ではなく、金や大理石を使った過剰な装飾（彫刻、曲線美）が施されたバロック建築のようになっている。
2027/03/21,日,No.03279,先史時代の洞窟壁画風のデジタルアート,ラスコーの洞窟壁画のようなタッチで、マンモスやバイソンの代わりに、スマートフォンやノートPC、ドローンなどが描かれている。
2027/03/22,月,No.03280,ゴシック建築とミニマリズムが融合した教会,教会の外観は、天を突く尖塔やフライング・バットレスを持つ荘厳なゴシック建築だが、内装は一切の装飾を排した純白のミニマリズム空間になっている。
2027/03/23,火,No.03281,コンビニのレジにいるケンタウロス,ごく普通のコンビニの店内。レジカウンターの中で、店員の制服（上半身のみ）を着たケンタウロス（下半身が馬）が、普通に「ありがとうございました」と接客している。
2027/03/24,水,No.03282,公園の池から顔を出すリヴァイアサン,平和な昼下がりの公園。子供たちが遊ぶボート池から、聖書に出てくるような超巨大な海の怪物（リヴァイアサン）が、水しぶきを上げて顔を半分出している。
2027/03/25,木,No.03283,図書館の異次元本棚,静かな図書館。しかし、ある特定の本棚だけが、本が並んでいる代わりに、渦巻く銀河や異次元空間に繋がっており、そこから奇妙な光が漏れている。
2027/03/26,金,No.03284,朝の食卓の銀河コーヒー,ごく普通の家庭の朝食（トースト、目玉焼き）。その横にあるコーヒーカップの中身が、黒い液体ではなく、美しい銀河星雲がゆっくりと渦巻いている。
2027/03/27,土,No.03285,「頭がキレる」男,ビジネスマンが会議で鋭い意見を述べている。彼の頭部が文字通り、鋭い刃物（ナイフやカミソリ）の刃になっており、光を反射している。
2027/03/28,日,No.03286,「足が棒になる」,長時間のハイキングや買い物を終えた人物。その足が、疲労のあまり、人間の足ではなく、文字通りの硬い「木の棒」に変わってしまっている。
2027/03/29,月,No.03287,「息をのむ」光景,絶景を見た観光客たちが、あまりの美しさに「息をのんで」いる。彼らが吸い込んだ息が、のど（喉）のあたりで物理的に詰まってしまい、苦しそうにしている。
2027/03/30,火,No.03288,「火に油を注ぐ」消防士,燃え盛る家事現場で、消防士が消火ホースから水を出す代わりに、ガソリン（油）を注ぎ、さらに炎を大きくしてしまっている、という言葉通りの光景。
2027/03/31,水,No.03289,知性を持ち、都市を築いた昆虫,人間のいない地球で、蟻やカブトムシのような昆虫が高度な知性を持ち、粘菌や葉っぱを使って、高層ビル群のような複雑な都市を築いている。
2027/04/01,木,No.03290,陸上進出しなかった両生類が支配する星,地球とは別の星。そこでは両生類（カエルやサンショウウオ型）が進化の頂点に立ち、水中や湿地帯に高度な文明（例：泡でできたドーム都市）を築いている。
2027/04/02,金,No.03291,恒星間飛行能力を得た植物,巨大な樹木や花が、根を地中から引き抜き、太陽光を帆のように受けて、宇宙空間を「泳ぐ」ように移動し、星々を渡り歩いている。
2027/04/03,土,No.03292,珪素ベースの生命体とのファーストコンタクト,宇宙飛行士が未知の惑星で遭遇した生命体。それは炭素ベースではなく、水晶や岩石のような珪素ベースの生命体で、ゆっくりと動いたり、光で会話したりしている。
2027/04/04,日,No.03293,体に刻まれる読書,図書館で本を読む人物。その本のページがめくられるたびに、読んだ内容（文章や挿絵）が、自動的にその人の皮膚にタトゥーとして刻まれていく。
2027/04/05,月,No.03294,実体化する噂話,街角で人々が噂話をしている。その噂（例：「あの角に幽霊が出る」）が、黒い煙や実体となって吹き出しから現れ、街を徘徊し始める。
2027/04/06,火,No.03295,情報を失う彫刻,彫刻家が大理石の像を削っている。彼がノミを振るうたびに、像が美しくなる代わりに、図書館の本棚から関連する本が消滅していく（情報が失われる）。
2027/04/07,水,No.03296,デジタルデータを食べるペット,近未来の家庭で飼われているペット。それは犬や猫ではなく、古いUSBメモリや不要なデジタルデータ（0と1の羅列）を餌としてムシャムシャ食べている。
2027/04/08,木,No.03297,割れた瞬間に修復される鏡,鏡が床に落ちて粉々に割れた瞬間、その破片がすべて逆再生のように元の位置に戻り、何事もなかったかのように修復される。
2027/04/09,金,No.03298,矢を放つ前に的に当たる弓使い,弓の名手が矢を弓につがえ、構えた瞬間。まだ矢は放たれていないのに、遠くにある的のど真ん中には、すでに矢が突き刺さっている。
2027/04/10,土,No.03299,完成してから描かれる設計図,壮麗な大聖堂がすでに完成し、人々が集っている。その傍らで、建築家が「今から」その大聖堂の設計図を（完成物を見ながら）描き始めている。
2027/04/11,日,No.03300,泣き止んでから起こる悲劇,子供が理由もなく泣きじゃくっていたが、ふと泣き止んだ。その直後、大切にしていたおもちゃが棚から落ちて壊れる（悲しい出来事が後から起こる）。
2027/04/12,月,No.03301,物理的な悪口,二人が口論している。片方が相手に「馬鹿！」と叫ぶと、その言葉が物理的な弾丸やナイフとなって相手に当たり、相手が物理的に負傷している。
2027/04/13,火,No.03302,「橋」と書くと橋がかかる,川を前にして道が途絶えている。旅人が紙に「橋」という文字を書くと、その文字が実体化して巨大な橋となり、川の対岸までかかる。
2027/04/14,水,No.03303,詩を読むと天気が変わる,広場で詩人が朗読をしている。彼が「嵐」についての詩を読むと、晴れていた空が急に暗転し、激しい雨と風が吹き荒れる。
2027/04/15,木,No.03304,条文の壁,都市が、石やレンガの壁ではなく、「立ち入りを禁ずる」といった法律の条文そのものが物理的な壁となって連なり、外部と隔絶されている。
2027/04/16,金,No.03305,忘却銀行,人々が「忘れたい記憶」を預けに来る銀行。行員が客の頭から記憶を抽出し（光の玉など）、それを厳重な金庫に保管している。
2027/04/17,土,No.03306,記憶の結晶ネックレス,人々が自分の大切な記憶（結婚式、子供の誕生など）を結晶化させ、それをネックレスやアクセサリーとして身につけている。
2027/04/18,日,No.03307,記憶を食べて成長する森,人々が森に入ると、徐々に記憶を失っていく。その失われた記憶を養分として、森の木々が不気味なほど青々と、急速に成長していく。
2027/04/19,月,No.03308,忘却の霧,街に、すべてを忘れさせる「忘却の霧」が立ち込めている。霧に触れた人々は、自分が誰で、何をしているのかを忘れ、呆然と立ち尽くしている。
2027/04/20,火,No.03309,海底の畳都市,深海の海底に、サンゴや海藻に混じって、畳敷きの和室や障子でできた日本家屋が立ち並ぶ都市が広がっている。魚たちが畳の上を泳いでいる。
2027/04/21,水,No.03310,砂漠のゴシック大聖堂,見渡す限りの砂漠の真ん中に、サグラダファミリアのような巨大なゴシック様式の大聖堂がそびえ立っている。しかし、それは石ではなく、すべて砂でできている。
2027/04/22,木,No.03311,ジャングルジムのようなビル群,都市の高層ビル群が、まるでジャングルジムのように複雑に絡み合い、人々がその鉄骨をよじ登って移動している。
2027/04/23,金,No.03312,火山から噴出する浮世絵の灰,火山が噴火しているが、噴出しているのは溶岩や火山灰ではなく、葛飾北斎の「富嶽三十六景」のような浮世絵の模様をした灰である。
2027/04/24,土,No.03313,聴診器に診察される医者,病院の診察室で、医者が患者の席に座り、意志を持った聴診器が（触手のように動いて）医者自身を診察している。
2027/04/25,日,No.03314,カメラに指示される写真家,写真家がモデルを撮影しようとしているが、カメラ（三脚に立った）がアームを動かし、「もっと右だ」「角度が違う」と写真家に指示を出している。
2027/04/26,月,No.03315,筆に導かれる画家,画家がキャンバスに向かっているが、彼の手の中にある絵筆が自ら動き、画家はその筆の動きに引きずられるようにして絵を描いている。
2027/04/27,火,No.03316,ハンマーに家を建てさせられる大工,大工が、自律して動くハンマーやノコギリに「そこじゃない！」「早くしろ！」と怒鳴られながら、家を建てさせられている。
2027/04/28,水,No.03317,街全体が恋をすると春が訪れる,灰色で冬景色だった街。しかし、街中の人々が一斉に恋に落ちた瞬間、枯れ木に一斉に花が咲き、雪が溶けて春が訪れる。
2027/04/29,木,No.03318,局地的な絶望の冬,晴れた夏の公園。しかし、ベンチで深く絶望している一人の人物の周囲だけが、まるでスポットライトのように雪が降り積もり、局地的な冬になっている。
2027/04/30,金,No.03319,国民の怒りと火山噴火,国の議事堂の前で、国民が大規模なデモを行い、怒りの感情が高まっている。それに呼応するように、遠くの火山が黒い煙を噴き上げ始める。
2027/05/01,土,No.03320,満足感と実りの秋,人々が仕事や食事を終え、深い満足感に包まれている。その満足感が黄金色の光となり、畑の作物が瞬時に実り、豊かな秋の収穫をもたらす。
2027/05/02,日,No.03321,何も知らない100歳の賢者,仙人のような風貌の100歳の賢者が、弟子たちに囲まれている。しかし、彼は「わしは何も知らん」と答え、赤ん坊のように無垢な目をしている。
2027/05/03,月,No.03322,5歳児の姿の老練な将軍,戦場の作戦司令室で、5歳児ほどの幼い子供が、巨大な戦略地図を前に、百戦錬磨の将軍のように的確な指示を出し、部下たちがそれに従っている。
2027/05/04,火,No.03323,哲学を語る赤ん坊,生まれたばかりの赤ん坊が、ベビーベッドの中で、おしゃぶりをしながらも、難解な哲学（例：ニーチェ、カント）を流暢に語っている。
2027/05/05,水,No.03324,経験をリセットして若返る人々,老人が「経験リセット装置」に入ると、その生涯の経験や記憶を失う代わりに、肉体が若返って（例：青年に）出てくる。
2027/05/06,木,No.03325,1メートル歩くのに1時間かかる廊下,ある廊下では、物理的な距離と時間の流れが連動しており、1メートル進むために1時間が経過してしまう。人々がカタツムリのようにゆっくり進んでいる。
2027/05/07,金,No.03326,100年後の未来が見える隣の部屋,自宅のドアを開けて隣の部屋に入ると、そこは100年後の未来の世界（例：荒廃している、または超未来都市）になっており、窓からその景色が見える。
2027/05/08,土,No.03327,距離を支払って時間を買う店,人々が「時間銀行」で、自分が移動できる「距離」（例：100km分）を預金通帳から支払うと、その対価として「寿命」や「自由時間」（例：1時間）を購入できる。
2027/05/09,日,No.03328,記憶で変わる距離,「故郷」までの物理的な距離が、その故郷の「思い出の強さ」によって変動する世界。思い出が薄れると故郷は遠くなり、強くなると近くなる。
2027/05/10,月,No.03329,真っ赤な悲鳴,事件現場で、被害者が上げた悲鳴が、声として聞こえる代わりに、口から真っ赤な破壊光線のように放たれ、壁や物体を貫いている。
2027/05/11,火,No.03330,青色が聴こえる,ある人物が青い空や青い海を見ている。その「青色」が、彼には特定の音（例：低いチェロの音、または静かなシンセサイザーの音）として聞こえている。
2027/05/12,水,No.03331,絵の具で作曲する音楽家,音楽家がピアノや五線譜ではなく、キャンバスに向かい、様々な色の絵の具を塗りたくることで「交響曲」を作曲している。
2027/05/13,木,No.03332,点滅するサイレンの音,パトカーのサイレンが「音」として鳴る代わりに、その周囲の空間が「赤」と「青」の警告色で激しく点滅し、その「色の点滅」が人々に危険を知らせている。
2027/05/14,金,No.03333,空飛ぶ鉄の船と泳ぐ鳥,空には巨大な鉄の蒸気船が浮かび、海の中ではペンギンやカモメのような鳥たちが魚のように自在に泳ぎ回っている、上下が逆転した生態系。
2027/05/15,土,No.03334,羽根のように軽いビル,高層ビル群が、まるで羽根やシャボン玉のように軽く、わずかな風でゆっくりと揺れ動いたり、地面から少し浮き上がったりしている。
2027/05/16,日,No.03335,アンカーのように重い雲,空に浮かぶ雲が、船の錨（アンカー）のように極端に重く、鎖で地面に繋ぎ止められていないと、空から落ちてきてしまう世界。
2027/05/17,月,No.03336,悲しみの重さで沈む人,ある人物が深い悲しみを感じている。その「悲しみの重さ」によって、その人物の体だけが物理的に重くなり、地面や床に徐々に沈んでいっている。
2027/05/18,火,No.03337,外骨格の人間,人間の骨格（肋骨や背骨）が皮膚の外側にあり、まるで自然の鎧のように体を覆っている。内側に柔らかい内臓や筋肉がある。
2027/05/19,水,No.03338,外壁が本棚の図書館,図書館の建物。その外壁全体が巨大な本棚になっており、通行人が自由に壁から本を取り出して読んでいる。内部はがらんどう。
2027/05/20,木,No.03339,思考が吹き出しになる人々,人々が考えていること（内面の思考）が、すべてマンガの吹き出しのように頭上にリアルタイムで表示されてしまい、隠し事ができない社会。
2027/05/21,金,No.03340,皮が内側にある果物,リンゴやバナナを割ると、外側が柔らかい果肉で、その中心（内側）に硬い「皮」があり、種を包んでいる。
2027/05/22,土,No.03341,静止して見える高速回転コマ,コマが超高速で回転しているが、人間の目には（あるいはストロボ効果で）完全に静止しているように見え、その上で小さなバレリーナが踊っている。
2027/05/23,日,No.03342,景色が変わらないマラソンランナー,マラソンランナーが必死の形相で走っているが、背景の景色が全く変わらない（まるでルームランナーの上を走っているかのよう）。
2027/05/24,月,No.03343,まばたきする彫像,美術館に展示されている大理石の彫像。体は完全に静止しているが、その目だけがリアルにまばたきをしたり、鑑賞者を目で追ったりしている。
2027/05/25,火,No.03344,風になびく静止画,額縁に入った古い肖像画。描かれた人物は静止しているが、その人物の髪や衣服だけが、まるで絵の外から風が吹いているかのように、常になびいている。
2027/05/26,水,No.03345,剣の形をしたフルート,音楽家が、どう見ても両刃の鋭い「剣」にしか見えない楽器を、フルートのように横に構えて息を吹き込み、美しい音色を奏でている。
2027/05/27,木,No.03346,飛べない雲の乗り物,人々が「雲」の形をした乗り物に乗っている。しかし、それは空を飛ぶのではなく、車輪がついていて地面をゴトゴトと走っている。
2027/05/28,金,No.03347,本の形をしたランプ,開かれた「本」の形をしているが、ページには文字が書かれておらず、そのページ自体が明るく発光し、ランプ（照明器具）として機能している。
2027/05/29,土,No.03348,泳ぐことしかできない鳥,カモメや鷹のような立派な翼を持つ「鳥」の形をした機械。しかし、翼は動かず、代わりにヒレが付いており、水の中を潜水艦のように泳いでいる。
