日付,曜日,テーマNo,テーマ ( タイトル ),AIへの命令文の例
2028/01/24,土,No.03588,鏡に映る自分だけが年老いている,若い人物が鏡の前に立っているが、鏡の中に映っている姿だけが、何十年も年老いた（あるいは若返った）未来（あるいは過去）の自分である、不思議な光景を描いてください。
2028/01/25,日,No.03589,空を飛ぶことを夢見る地底人,地下深くの暗い洞窟で暮らす地底人が、壁画に「太陽」と「空を飛ぶ自分たち」の姿を描き、空への憧れを抱いている様子を描いてください。
2028/01/26,月,No.03590,音符でできた魚,海の中を泳ぐ魚の群れが、よく見ると魚の形ではなく、五線譜の上を泳ぐ「音符」でできており、その群れが通ると音楽が聞こえるような幻想的な水中風景を描いてください。
2028/01/27,火,No.03591,笑顔で人を助ける冷酷な医者,医者が、患者に対して完璧な笑顔と優しい言葉遣いで接しているが、その目だけが一切笑っておらず、氷のように冷酷な計算をしている二面性を描いてください。
2028/01/28,水,No.03592,食べられる宝石,ショーケースに並べられたルビーやエメラルドが、実際には甘いお菓子（キャンディやゼリー）でできており、人々がそれを美味しそうに食べている様子を描いてください。
2028/01/29,木,No.03593,石の心臓を持つ優しいロボット,見た目は無骨で冷たい金属のロボットだが、胸のハッチが開くと、中には石でできた鼓動しない心臓がある。しかし、そのロボットは小鳥を優しく手当てしている姿を描いてください。
2028/01/30,金,No.03594,過去の戦争の英雄として称えられるAI,現代の平和な式典で、過去の大戦を終結に導いた「英雄」として、一体の旧式AI（人型ロボット）が勲章を授与され、人々から称賛されている様子を描いてください。
2028/01/31,土,No.03595,重い光と軽い闇,光が当たっている場所は、重力が増したかのように物が沈み込み、逆に影（闇）の部分は、物がふわりと浮き上がる、光と闇の性質が逆転した世界を描いてください。
2028/02/01,日,No.03596,雲でできた都市,空高く、巨大な積乱雲や入道雲そのものが、高層ビルや道路、公園などを持つ「都市」として機能しており、人々（あるいは天使）が生活している様子を描いてください。
2028/02/02,月,No.03597,泣きながら走るマラソンランナー（1位）,マラソン大会で、ゴールテープを1位で切ろうとしているランナーが、歓喜の表情ではなく、この世の終わりのように号泣しながら走っている姿を描いてください。
2028/02/03,火,No.03598,自分の尾を食べる蛇（ウロボロス）の日常,ウロボロス（自分の尾を食べる蛇）が、その行為を「食事」として、ナイフとフォークを使って、自分の尾を美味しそうに食べているシュールでコミカルな日常を描いてください。
2028/02/04,水,No.03599,平和ボケしたドラゴン,巨大で恐ろしい姿のドラゴンが、人間や家畜を襲うこともなく、村の広場でのんびりと昼寝をしたり、子供たちに背中を（遊び場として）提供したりしている平和な光景を描いてください。
2028/02/05,木,No.03600,満月が釣り針にかかる夜,夜釣りを楽しんでいると、釣り竿が大きくしなり、釣り上げてみると、夜空に輝く「満月」が釣り針にかかっている、幻想的でユーモラスな瞬間を描いてください。
2028/02/06,金,No.03601,歓喜なき祝祭,豪華絢爛なカーニバルや祭りの真っ只中で、参加者全員が無表情で虚ろな目をしている様子を生成してください。
2028/02/07,土,No.03602,液体化した石像,古代ギリシャの彫刻のような大理石の石像が、ロウソクのようにゆっくりと溶けて床に広がっている様子を描いてください。
2028/02/08,日,No.03603,サイバーパンクな縄文時代,縄文土器風の模様が施されたネオン輝く高層ビル群の中で、狩猟採集民風のサイバーウェアを装着した人々が暮らす風景を生成してください。
2028/02/09,月,No.03604,静かなる轟音,巨大な滝が流れ落ちているにもかかわらず、水しぶきだけが上がり、一切の音が聞こえない静寂な風景を描いてください。
2028/02/10,火,No.03605,「憂鬱」の肖像,灰色の霧でできたドレスを着た女性が、枯れた花畑の中でうつむいている姿を、「憂鬱」という概念を擬人化して描いてください。
2028/02/11,水,No.03606,ペットに怯えるハンター,巨大な猛獣（ライオンや熊など）をペットとして飼っているが、その猛獣が小さな子猫に怯えてハンターの後ろに隠れている様子を生成してください。
2028/02/12,木,No.03607,豆粒ほどの大きさのクジラ,ティーカップの中の紅茶を、豆粒ほどの大きさのシロナガスクジラが優雅に泳いでいる様子を、リアルな質感で描いてください。
2028/02/13,金,No.03608,色の聞こえるギャラリー,絵画鑑賞をしている人々が、絵の色に応じて耳を澄ませたり、耳を塞いだりしている美術館の様子を生成してください。絵画は抽象的で、色が音波のように描かれていると良いでしょう。
2028/02/14,土,No.03609,天文時計の心臓,人体の胸部が開き、そこにあるべき心臓の代わりに、複雑な歯車と宝石でできた精密な天文時計がカチカチと動いている様子を、解剖学的にリアルかつ機械的に描いてください。
2028/02/15,日,No.03610,砂漠での水泳大会,広大な砂漠の真ん中で、人々が水着姿で砂丘を泳ぐように進んでいる（クロールや平泳ぎをしている）奇妙な大会の風景を生成してください。
2028/02/16,月,No.03611,重力が上向きの世界,人々が地面に「落ちない」ように必死で手すりや重りにつかまっており、建物や木々も空に向かって生えているのではなく、地面に固定されているような奇妙な街並みを描いてください。
2028/02/17,火,No.03612,夢を録音する枕,枕元に置かれた枕が、眠っている人の頭から漏れ出る幻想的な光やイメージを吸い込み、カセットテープやデジタルデータとして記録している様子を生成してください。
2028/02/18,水,No.03613,水滴の中の宇宙,葉の上に乗った一滴の朝露をマクロレンズで覗き込むと、その中に無限の銀河や星雲が渦巻いている様子を、美しく幻想的に描いてください。
2028/02/19,木,No.03614,デジタル文明を築いたアステカ,もしアステカ文明がスペインに滅ぼされず、独自のデジタル技術を発展させていたら。太陽のピラミッドが巨大なサーバーになっており、伝統的な衣装の人々がホログラムを操作している様子を生成してください。
2028/02/20,金,No.03615,喜びのオーラが都市を照らす,人々が感じる「喜び」が、それぞれの体から発する色とりどりのオーラとなり、夜の都市をネオンサインのように明るく照らしている風景を描いてください。
2028/02/21,土,No.03616,放棄された宇宙船に根を張る森,何百年も前に不時着した巨大な宇宙船の残骸を突き破り、その金属の船体や内部の機械を養分にして、巨大な樹木や色鮮やかな植物が繁茂している風景を生成してください。
2028/02/22,日,No.03617,悪夢の侵食,眠っている人が見た悪夢（例：奇妙な怪物、歪んだ風景）が、ベッドの周りからじわじわと現実世界に実体化し、部屋の壁や家具を侵食している様子を描いてください。
2028/02/23,月,No.03618,シャーロック・ホームズ、魔法学校に入学,論理と科学の探偵シャーロック・ホームズが、ホグワーツのような魔法学校に迷い込み、魔法の現象を必死に科学的に分析・推理しようとしている様子を生成してください。
2028/02/24,火,No.03619,エントロピーの逆流,部屋の中の散らかった物がひとりでに片付き、割れたカップが元に戻り、冷めたコーヒーが再び熱くなっていく、時間の矢が逆転したような瞬間を描いてください。
2028/02/25,水,No.03620,バロック様式のミニマリズム,非常に豪華で装飾過多なバロック様式の彫刻や建築要素（渦巻模様、金箔など）を使いながらも、極端に物が少なく、広々とした空間が強調されたミニマリストな室内をデザインしてください。
2028/02/26,木,No.03621,通勤ラッシュの武士,現代の満員電車の中で、スーツ姿のサラリーマンたちに混じって、一人だけ甲冑を身に着けた武士が真剣な顔で吊り革につかまっている様子を生成してください。
2028/02/27,金,No.03622,「筆が滑る」作家,小説家が万年筆で原稿を書いていると、その万年筆が文字通りツルツルと滑り出し、作家の手を離れて原稿用紙の上をスケートのように滑っていく様子を描いてください。
2028/02/28,土,No.03623,ガス状に進化した哺乳類,特定の環境に適応するため、体が気体やプラズマのようになり、定まった形を持たない哺乳類（例：ガス状の虎）が森の中を漂っている様子を生成してください。
2028/02/29,日,No.03624,コードを食べるバグ,コンピューターのプログラムコード（0と1の羅列や、カラフルなテキスト）が物理的な麺のようになっており、それを虫（バグ）がムシャムシャと食べている様子を比喩的に描いてください。
2028/03/01,月,No.03625,矢を放つ前に的が射抜かれている弓道家,弓道家が矢を放つまさにその瞬間、矢はまだ手元にあるにもかかわらず、遠くの的がすでに射抜かれているという、因果関係が破綻したシーンを描いてください。
2028/03/02,火,No.03626,悪口がトゲになる世界,人々が悪口を言うと、その言葉が物理的な黒いトゲとなって口から飛び出し、言われた相手の体に突き刺さる様子を生成してください。
2028/03/03,水,No.03627,忘れたい記憶の瓶詰め屋,路地裏の怪しげな店で、店主が客の頭から「忘れたい記憶」を光の糸のように抜き取り、それを小さな瓶に詰めて棚に並べている様子を描いてください。
2028/03/04,木,No.03628,サバンナの歌舞伎座,アフリカの広大なサバンナの真ん中、キリンやシマウマの群れがいる背景に、日本の伝統的な歌舞伎座の建物が不釣り合いに建っている風景を生成してください。
2028/03/05,金,No.03629,聴診器に診断される医者,医者が患者ではなく、自律的に動く聴診器によって「診断」されている。聴診器が医者の胸に当てられ、厳しい表情（？）で何かを告げている様子を描いてください。
2028/03/06,土,No.03630,悲しみが雪になる街,街の人々が悲しい出来事を経験すると、その人の頭上から局所的に雪が降り始め、街全体が悲しみの深さに応じて雪景色に変わっていく様子を描いてください。
2028/03/07,日,No.03631,老賢者の姿をした赤ん坊,生まれたばかりの赤ん坊が、長い白髭を生やし、深いシワのある賢者のような顔つきで、周囲の大人たちに哲学的な言葉を語りかけている様子を生成してください。
2028/03/08,月,No.03632,速すぎる静物画,果物や花瓶が描かれた静物画なのに、残像が見えるほど高速で振動していたり、ソニックブームのようなエフェクトが描かれていたりする作品を生成してください。
2028/03/09,火,No.03633,音のないオーケストラ,満員のコンサートホールで、指揮者とオーケストラの演奏者たちが必死の形相で情熱的に楽器を演奏しているが、一切の音が聞こえず、観客が静寂の中で身振り手振りだけで感動を表現している様子を描いてください。
2028/03/10,水,No.03634,浮かぶアンカー（錨）,重いはずの巨大な船の錨が、鎖に繋がれたまま空中にプカプカと浮かんでおり、船がそれに引かれて空を飛んでいる奇妙な風景を生成してください。
2028/03/11,木,No.03635,内側が空になっている人間,人物のシルエットははっきりと存在しているが、その内側が完全に透明か、あるいは空洞になっており、背景の景色が透けて見えている状態を描いてください。
2028/03/12,金,No.03636,踊る摩天楼,夜の都市で、高層ビル群がまるで生き物のようにしなやかに曲がりくねり、互いにダンスを踊っているかのような幻想的な風景を生成してください。
2028/03/13,土,No.03637,食べられる本,図書館の本棚に並んでいる本が、パンやケーキ、果物などでできており、人々がそれをちぎって美味しそうに食べている様子を描いてください。
2028/03/14,日,No.03638,生きた化石,博物館に展示されている恐竜の骨格標本（化石）が、突然動き出し、驚く来館者たちの間を歩き回っている様子を生成してください。
2028/03/15,月,No.03639,指先サイズの銀河,一人の人物が指先を差し出すと、その指の先に小さな渦巻銀河が輝いており、その周りを微小な惑星が公転している様子をマクロで描いてください。
2028/03/16,火,No.03640,過去と未来が混在する交差点,ある交差点の一角はモノクロの1950年代の風景、別の一角はホログラムが飛び交う未来都市、さらに別の一角は恐竜が歩いている古代の風景になっており、それらが同時に存在している様子を描いてください。
2028/03/17,水,No.03641,結果から始まる物語,まずエンディング（例：主人公が勝利し、平和が訪れる）が描かれ、その後にその結果に至った原因（例：苦しい戦いや冒険）が逆再生のように描かれていく様子を生成してください。
2028/03/18,木,No.03642,群衆でできた一人の巨人,無数の小さな人々が集まり、互いに組み合わさることで、一人の巨大な人間の姿を形作っている様子を、アルチンボルド風に描いてください。
2028/03/19,金,No.03643,「平和」の重さ,「平和」という概念が、非常に重く巨大な石碑や彫像として具現化し、人々がそれを必死で支えたり、運んだりしている様子を描いてください。
2028/03/20,土,No.03644,必然的なサイコロの目,ギャンブラーがサイコロを振ると、毎回必ず「6」の目が出る。しかしその「6」の目は、サイコロが割れて中から現れたり、インクが滲んで現れたりと、明らかに不自然な形で「必然的に」作り出されている様子を生成してください。
2028/03/21,日,No.03645,無限に複雑な折り鶴,一枚の紙で折られた折り鶴だが、その翼や頭部がフラクタルのように無限に細かい折り目で構成されており、全体像が把握できないほど複雑になっている様子を描いてください。
2028/03/22,月,No.03646,有限の宇宙の果て,宇宙船が宇宙の果てに到達すると、そこには何も書かれていないキャンバスのような「壁」があり、宇宙飛行士がその壁に触れている様子を描いてください。
2028/03/23,火,No.03647,飛べない鳥のための飛行機,翼が退化して飛べなくなった鳥たち（ペンギンやダチョウなど）が、自分たちのサイズに合わせた小さなプロペラ機やジェット機を操縦して、大空を飛び回っている様子を生成してください。
2028/03/24,水,No.03648,1が100より大きい世界,数字の「1」が書かれたリンゴが、数字の「100」が書かれたリンゴよりも物理的に圧倒的に大きく、重そうに描かれている奇妙な静物画を生成してください。
2028/03/25,木,No.03649,名前のない生き物,誰も名前を知らず、名前をつけようとすると形が変わってしまう、常に姿が揺らぎ続ける不思議な生き物を描いてください。
2028/03/26,金,No.03650,終わりのない始まり,スタートラインに立ったランナーが号砲と共に走り出すが、その瞬間が永遠にループし、決してレースが始まらない（または常に始まりの瞬間である）様子を描いてください。
2028/03/27,土,No.03651,理由が先に来る結果,まず「なぜなら空が青いからだ」という理由（看板や吹き出し）が提示され、その結果として人々が空を見上げて困惑している、あるいは空が突然青くなる、といった奇妙な状況を描いてください。
2028/03/28,日,No.03652,答えを探す質問,「人生の意味とは？」といった哲学的な質問が、擬人化されたキャラクター（？マークの頭を持つ人など）となり、図書館や街中で答えを探して歩き回っている様子を生成してください。
2028/03/29,月,No.03653,怠惰な成功者,一切の努力をせず、一日中寝転がったり遊んだりしている人物が、なぜかビジネスで大成功を収め、豪華な邸宅でトロフィーに囲まれてさらに怠惰に過ごしている様子を描いてください。
2028/03/30,火,No.03654,未来の記憶を持つ歴史家,歴史家が、まだ起こっていない未来の出来事（例：22世紀の革命）について、まるで過去の出来事のように詳細に分析し、講義している様子を描いてください。
2028/03/31,水,No.03655,画一的な個性,街を歩く人々が、全員「個性的であれ」というスローガンが書かれた同じデザインのTシャツを着て、同じ歩幅で無表情に行進している様子を生成してください。
2028/04/01,木,No.03656,耳障りな静寂,完全に無音の空間（防音室など）で、一人の人物がその「静寂」自体が耐え難い騒音であるかのように耳を塞ぎ、苦悶の表情を浮かべている様子を描いてください。
2028/04/02,金,No.03657,栄光ある敗北,スポーツの試合で敗北した選手が、勝者よりも多くの観客から称賛され、紙吹雪が舞う中で堂々と表彰台の中央に立っている（勝者は隅で悔しがっている）様子を描いてください。
2028/04/03,土,No.03658,醜い蝶,蝶の羽が、美しい模様ではなく、ゴミや汚物、あるいはグロテスクな模様で構成されている。しかし、その蝶が花畑を飛び回る様子は奇妙な美しさを放っている、という風景を描いてください。
2028/04/04,日,No.03659,嘘が真実になる法廷,裁判所で、被告人や証人が明らかに嘘の証言（例：「空は緑色だ」）をすると、裁判所の窓の外の空が本当に緑色に変わっていく様子を生成してください。
2028/04/05,月,No.03660,憎しみの抱擁,二人の人物が、互いに激しい憎しみを込めた表情（歯を食いしばり、涙を流す）をしながらも、力強く抱きしめ合っている姿を描いてください。
2028/04/06,火,No.03661,絶望から生まれる光,真っ暗闇の絶望的な空間（廃墟や奈落の底）で、深く絶望している人物の体から、眩いほどの希望の光が生まれ、周囲を照らし始める瞬間を描いてください。
2028/04/07,水,No.03662,孤独な自由,何もない無限の空間（白い背景など）に一人だけポツンと存在し、完全な自由（何にも縛られない）を手に入れた結果、極度の孤独を感じている人物を描いてください。
2028/04/08,木,No.03663,無知な博学者,巨大な図書館の全ての本を読破した博学者が、子供の単純な質問（例：「空はなぜ青いの？」）に答えられず、「何も知らない」と頭を抱えている様子を生成してください。
2028/04/09,金,No.03664,壊れやすい鋼鉄,鋼鉄でできた屈強な鎧や剣が、まるでガラス細工のように脆く、少し触れただけ（例：蝶が止まる）でヒビが入ったり砕け散ったりする様子を描いてください。
2028/04/10,土,No.03665,静止したレースカー,レースサーキットで、F1カーのような超高速マシンが、猛烈なスピードで走っているはずなのに、背景も車体も完全に静止しており、タイヤの回転すら止まっている奇妙な瞬間を描いてください。
2028/04/11,日,No.03666,闇を放つ灯台,岬に立つ灯台が、夜の海を照らすための光ではなく、周囲を飲み込むような強力な「闇」のビームを回転させながら放っている風景を生成してください。
2028/04/12,月,No.03667,冷たい炎,キャンプファイヤーで燃え盛る炎が、赤やオレンジではなく、青白く凍りついたような色をしており、人々がその「冷たい炎」に手をかざして涼んでいる様子を描いてください。
2028/04/13,火,No.03668,石のように硬い綿毛,タンポポの綿毛が、フワフワと飛んでいるのではなく、石のように硬質で重く、地面に落ちてクレーターを作っている様子を生成してください。
2028/04/14,水,No.03669,苦い蜜,蜂が花から集めた蜜が、黄金色ではなく真っ黒で、それを舐めた動物や人々が顔をしかめるほど苦い「蜜」を描いてください。
2028/04/15,木,No.03670,腐臭のする花園,見た目は非常に美しく色鮮やかな花々が一面に咲き誇る花園だが、そこからは甘い香りではなく、耐え難い腐臭が漂っている様子を、鼻をつまむ人々とともに描いてください。
2028/04/16,金,No.03671,不協和音のヒーリングミュージック,人々がリラックスするために聞いているヒーリングミュージックが、実際には耳障りな不協和音やノイズで構成されているが、聞いている人々は恍惚とした表情を浮かべている様子を描いてください。
2028/04/17,土,No.03672,混沌とした図書館,図書館の本棚や本が、整然と並べられているのではなく、ランダムかつ混沌としたパターン（渦を巻いたり、爆発したように）で配置されているが、司書はそれを完璧に管理している様子を生成してください。
2028/04/18,日,No.03673,変化し続ける単調な風景,一見すると何も変わらない単調な砂漠の風景だが、よく見ると砂粒一つ一つの色や形が毎秒猛スピードで変化し続けている様子を、マクロとワイドで描いてください。
2028/04/19,月,No.03674,予測不可能な時計,壁に掛かった時計の針が、規則正しく動くのではなく、ランダムにジャンプしたり、逆回転したり、溶けて垂れ下がったりと、全く予測不可能な動きをしている様子を描いてください。
2028/04/20,火,No.03675,非論理的な数学の授業,学校の教室で、教師が黒板に「1 + 1 = 魚」といった非論理的な数式を書き、生徒たちがそれを真剣な顔でノートに写している様子を生成してください。
2028/04/21,水,No.03676,非合理な建築,建物の階段が天井に向かって伸びていたり、ドアが壁の途中にあったり、柱が何の支えにもなっていなかったりと、機能的に全く非合理な構造をした奇妙な建築物を描いてください。（エッシャー風）
2028/04/22,木,No.03677,歓喜の葬列,葬式の行列だが、参列者全員が喪服ではなくカラフルな衣装を身につけ、笑顔で踊ったり歌ったりしながら故人を見送っている、喜びにあふれた葬儀の様子を描いてください。
2028/04/23,金,No.03678,沈む綿飴,お祭りの屋台で売られている綿飴が、空気より重く、子供の手を離れるとゆっくりと地面に沈んでいく様子を生成してください。
2028/04/24,土,No.03679,ネオンサインの古代遺跡,マヤやアンコールの古代遺跡の石壁に、伝統的な模様と並んで、サイバーパンクなネオンサインやデジタル広告が埋め込まれ、輝いている風景を描いてください。
2028/04/25,日,No.03680,トゲトゲしい癒し,触れると痛そうな鋭いトゲで全身が覆われた、ぬいぐるみやクッションのような「癒しグッズ」を、人々が幸せそうに抱きしめている様子を描いてください。
2028/04/26,月,No.03681,「無」の擬人化,何も持たず、背景もなく、ただ存在が希薄になっていくような人物、あるいは黒い穴（ブラックホール）のような人型の存在として、「無」を擬人化してください。
2028/04/27,火,No.03682,魚に支配された漁師,漁師が釣った巨大な魚に逆に釣り上げられ、魚が船の上でふんぞり返り、漁師が水中でロープに引かれているという力関係が逆転した海の風景を生成してください。
2028/04/28,水,No.03683,銀河サイズのコーヒーカップ,宇宙空間に、地球よりもはるかに巨大なコーヒーカップが浮かんでおり、その中のコーヒーが渦巻銀河のようになっている様子を描いてください。
2028/04/29,木,No.03684,歌う建築,建物自体が巨大な楽器になっており、風が吹いたり人が通ったりすると、壁や窓が振動して美しい音楽を奏でる都市の風景を生成してください。
2028/04/30,金,No.03685,機械仕掛けの幽霊,古い洋館に出る幽霊が、半透明のシーツを被った姿ではなく、歯車や蒸気パイプがむき出しになった機械仕掛け（スチームパンク風）の姿をしている様子を描いてください。
2028/05/01,土,No.03686,花束で戦う兵士,戦場で、兵士たちが銃や剣の代わりに、色とりどりの美しい花束を構え、互いに投げ合ったり、突きつけたりして戦っている様子を生成してください。
2028/05/02,日,No.03687,音が通貨になる市場,市場（バザール）で、人々が品物を買うために、お金の代わりに美しい歌声や楽器の演奏、あるいは特定の言葉（音）を店主に差し出している様子を描いてください。
2028/05/03,月,No.03688,感情を消す万年筆,その万年筆で日記や手紙を書くと、書かれた文字からインクと共に感情（喜びや悲しみ）が吸い取られ、書いた人は無表情になっていく様子を描いてください。
2028/05/04,火,No.03689,雪の結晶の中の都市,雪の結晶の一つを顕微鏡で拡大すると、その氷の枝分かれした構造に沿って、微細な未来都市が建設されている様子を描いてください。
2028/05/05,水,No.03690,ルネサンス期に発見されたスマートフォン,レオナルド・ダ・ヴィンチのようなルネサンス期の芸術家や科学者が、発掘された（あるいは空から落ちてきた）スマートフォンを囲み、その構造や機能を真剣にスケッチしたり議論したりしている様子を生成してください。
2028/05/06,木,No.03691,怒りで発電する街,都市の動力源が人々の「怒り」であり、市民が怒りを表明するための施設（叫び声を上げる場所など）が集められ、そこからエネルギーがパイプで都市中に送られている様子を描いてください。
2028/05/07,金,No.03692,電子回路の根,地面の下に張り巡らされているのが植物の根ではなく、光ファイバーや電子回路の基板であり、それが地上の木々（デジタルツリー）にデータを供給している様子を描いてください。
2028/05/08,土,No.03693,夢の密輸人,人々が見た「夢」が、液体や結晶のような物理的な物質として存在し、それを国境や検問所でこっそりとカバンに隠して運ぶ「夢の密輸人」を描いてください。
2028/05/09,日,No.03694,シンデレラ、西部劇のガンマンになる,童話のシンデレラが、ガラスの靴の代わりにカウボーイブーツを履き、ドレスの代わりに保安官のバッジをつけ、二丁拳銃で悪党と対決している西部劇のシーンを生成してください。
2028/05/10,月,No.03695,万有引力の見える街,街中のあらゆる物体（人、車、建物、リンゴなど）から、目に見える重力の線（矢印や光の帯）が地面に向かって伸びている、物理法則が可視化された風景を描いてください。
2028/05/11,火,No.03696,浮世絵風スペースオペラ,宇宙空間での壮大な艦隊戦や、エイリアンとの遭遇シーンを、葛飾北斎や歌川広重のような浮世絵のスタイル（大胆な構図、独特の色彩）で描いてください。
2028/05/12,水,No.03697,水族館の空飛ぶバス,ごく普通の路線バスが、水族館の巨大な水槽の中を、魚たちと一緒にゆっくりと泳ぎ（飛び）、乗客が窓から海の生き物を眺めている様子を生成してください。
2028/05/13,木,No.03698,「頭が固い」人,議論中に「頭が固い」と指摘された人物の頭部が、文字通りコンクリートや岩石に変化し、そこから芽が出たり、鳥が巣を作ったりしている様子をコミカルに描いてください。
2028/05/14,金,No.03699,空を泳ぐイカの群れ,海ではなく、夕焼け空や星空を、イカの群れが（まるで水中を泳ぐかのように）ゆらゆらと漂いながら移動している幻想的な風景を描いてください。
2028/05/15,土,No.03700,思考の化石,古代の哲学者の「思考」や「アイデア」が、アンモナイトや三葉虫のような化石となって地層から発掘され、博物館に展示されている様子を描いてください。
2028/05/16,日,No.03701,未来を思い出す老人,老人ホームで、一人の老人が、過去の思い出ではなく、これから起こるはずの未来の出来事（例：孫の結婚、宇宙旅行）を懐かしそうに語っている様子を描いてください。
2028/05/17,月,No.03702,怒りの賛美歌,教会の聖歌隊が、神を讃える厳かな賛美歌ではなく、ヘビーメタルのような激しい怒りや葛藤を表現するシャウト混じりの歌を、パイプオルガンの伴奏で歌っている様子を生成してください。
2028/05/18,火,No.03703,金属でできた雲,空に浮かぶ雲が、綿のように柔らかい水蒸気ではなく、錆びた鉄や光沢のあるクロムのような硬い金属の塊でできており、その影が地上に落ちている様子を描いてください。
2028/05/19,水,No.03704,中世のAI騎士,中世の騎士が身につけている甲冑が、実は高度なAIを搭載したパワードスーツであり、バイザー部分にホログラムのディスプレイが表示されている様子を、ゴシック様式とSFを融合させて描いてください。
